image_path,output
test/37381.jpg,"[[{'left': 0.361328125, 'top': 0.7321428571428571, 'width': 0.09114583333333331, 'height': 0.08184523809523814, 'shape': 'rectangle', 'label': ' \n\x0c'}, {'left': 0.2669270833333333, 'top': 0.7366071428571429, 'width': 0.08723958333333337, 'height': 0.1696428571428571, 'shape': 'rectangle', 'label': ' \n\x0c'}]]"
test/37378.jpg,"[[{'left': 0.1953125, 'top': 0.38839285714285715, 'width': 0.16471354166666669, 'height': 0.17410714285714285, 'shape': 'rectangle', 'label': ' \n\x0c'}]]"
test/37376.jpg,"[[{'shape': 'rectangle', 'left': 0.10026041666666667, 'top': 0.5446428571428571, 'width': 0.022135416666666668, 'height': 0.08035714285714295, 'label': ' \n\x0c'}, {'shape': 'rectangle', 'left': 0.12955729166666666, 'top': 0.5491071428571429, 'width': 0.018229166666666668, 'height': 0.06696428571428563, 'label': ' \n\x0c'}, {'shape': 'rectangle', 'left': 0.5131763453103914, 'top': 0.5032653749759014, 'width': 0.0906845689946018, 'height': 0.06184933487565057, 'label': ' \n\x0c'}, {'shape': 'rectangle', 'left': 0.6106770833333334, 'top': 0.46130952380952384, 'width': 0.09830729166666667, 'height': 0.09523809523809523, 'label': ' \n\x0c'}, {'shape': 'rectangle', 'left': 0.783203125, 'top': 0.40029761904761907, 'width': 0.21549479166666666, 'height': 0.12797619047619047, 'label': ' \n\x0c'}]]"
test/37362.jpg,"[[{'left': 0.6471354166666666, 'top': 0.32838038632986627, 'width': 0.11263020833333337, 'height': 0.08172362555720653, 'shape': 'rectangle', 'label': ' \n\x0c'}, {'left': 0.8294270833333334, 'top': 0.3031203566121842, 'width': 0.09049479166666663, 'height': 0.0832095096582467, 'shape': 'rectangle', 'label': ' \n\x0c'}, {'left': 0.8274739583333334, 'top': 0.5066864784546805, 'width': 0.08658854166666663, 'height': 0.08618127786032692, 'shape': 'rectangle', 'label': ' \n\x0c'}]]"
test/37350.jpg,"[[{'left': 0.14778645833333334, 'top': 0.6860119047619048, 'width': 0.17643229166666666, 'height': 0.12351190476190477, 'shape': 'rectangle', 'label': '         \n \n\nВВ тот\n\nц\n|\nыы\n\nЕЛА\nатлета у\n\nК\nЧ\nК]\n\n=\n\x0c'}]]"
test/37329.jpg,"[[{'left': 0.009114583333333334, 'top': 0.3125, 'width': 0.3658854166666667, 'height': 0.40327380952380953, 'shape': 'rectangle', 'label': ' \n\x0c'}, {'left': 0.6725260416666666, 'top': 0.39880952380952384, 'width': 0.12890625, 'height': 0.30208333333333326, 'shape': 'rectangle', 'label': ' \n\x0c'}]]"
test/37327.jpg,"[[{'shape': 'rectangle', 'left': 0.6061197916666666, 'top': 0.5877976190476191, 'width': 0.12239583333333333, 'height': 0.2767857142857143, 'label': ' \n\x0c'}, {'shape': 'rectangle', 'left': 0.7174479166666666, 'top': 0.6592261904761905, 'width': 0.15690104166666666, 'height': 0.3392857142857143, 'label': ' \n\x0c'}]]"
test/37325.jpg,"[[{'left': 0.5865885416666666, 'top': 0.5952380952380952, 'width': 0.11393229166666674, 'height': 0.24702380952380953, 'shape': 'rectangle', 'label': ' \n\x0c'}, {'left': 0.6940104166666666, 'top': 0.6339285714285714, 'width': 0.16536458333333337, 'height': 0.30505952380952384, 'shape': 'rectangle', 'label': ' \n\x0c'}]]"
test/37319.jpg,"[[{'left': 0.22005208333333334, 'top': 0, 'width': 0.22656249999999997, 'height': 0.19345238095238096, 'shape': 'rectangle', 'label': ' \n\x0c'}]]"
test/37309.jpg,"[[{'left': 0.4192708333333333, 'top': 0.16666666666666666, 'width': 0.13346354166666669, 'height': 0.11309523809523811, 'shape': 'rectangle', 'label': ' \n \n \n\n    \n\n2. —— т па Г —— ри\n\x0c'}, {'left': 0.8046875, 'top': 0.14136904761904762, 'width': 0.15559895833333337, 'height': 0.09523809523809523, 'shape': 'rectangle', 'label': ' \n \n \n\n    \n\n2. —— т па Г —— ри\n\x0c'}]]"
test/37290.jpg,"[[{'left': 0.6100260416666666, 'top': 0.537890044576523, 'width': 0.03385416666666674, 'height': 0.07726597325408624, 'shape': 'rectangle', 'label': ' \n\x0c'}]]"
test/37289.jpg,"[[{'left': 0.6321614583333334, 'top': 0.16666666666666666, 'width': 0.23828125, 'height': 0.1904761904761905, 'shape': 'rectangle', 'label': ' \n\nИА\n\x0c'}, {'left': 0.17122395833333334, 'top': 0.5892857142857143, 'width': 0.11263020833333334, 'height': 0.050595238095238027, 'shape': 'rectangle', 'label': ' \n\nИА\n\x0c'}]]"
test/37285.jpg,"[[{'left': 0, 'top': 0.13392857142857142, 'width': 0.17122395833333334, 'height': 0.19196428571428573, 'shape': 'rectangle', 'label': ' \n\x0c'}, {'left': 0.22981770833333334, 'top': 0.3005952380952381, 'width': 0.13346354166666666, 'height': 0.13541666666666669, 'shape': 'rectangle', 'label': ' \n\x0c'}]]"
test/37277.jpg,"[[{'left': 0.244140625, 'top': 0.5863095238095238, 'width': 0.14518229166666669, 'height': 0.09077380952380953, 'shape': 'rectangle', 'label': ' \n\n \n\n \n\n \n\n \n\n \n\x0c'}]]"
test/37274.jpg,"[[{'left': 0.5872395833333334, 'top': 0.3169642857142857, 'width': 0.06380208333333326, 'height': 0.11458333333333337, 'shape': 'rectangle', 'label': ' \n\x0c'}, {'left': 0.68359375, 'top': 0.2916666666666667, 'width': 0.15364583333333337, 'height': 0.11755952380952378, 'shape': 'rectangle', 'label': ' \n\x0c'}, {'left': 0.8678385416666666, 'top': 0.2619047619047619, 'width': 0.12434895833333337, 'height': 0.17559523809523808, 'shape': 'rectangle', 'label': ' \n\x0c'}, {'left': 0.41796875, 'top': 0.5074404761904762, 'width': 0.080078125, 'height': 0.08630952380952384, 'shape': 'rectangle', 'label': ' \n\x0c'}]]"
test/37270.jpg,"[[{'left': 0.8190104166666666, 'top': 0.6904761904761905, 'width': 0.138671875, 'height': 0.1875, 'shape': 'rectangle', 'label': 'УВ\n\n1\n26|\nИЗ\nШ\n[%\n\n \n\x0c'}]]"
test/37268.jpg,"[[{'left': 0.16276041666666666, 'top': 0.4955357142857143, 'width': 0.09700520833333334, 'height': 0.07886904761904756, 'shape': 'rectangle', 'label': ' \n\x0c'}]]"
test/37248.jpg,"[[{'left': 0.11263020833333333, 'top': 0.2330508474576271, 'width': 0.255859375, 'height': 0.2556497175141243, 'shape': 'rectangle', 'label': ' \n\x0c'}, {'left': 0.0546875, 'top': 0.4971751412429379, 'width': 0.2942708333333333, 'height': 0.2175141242937853, 'shape': 'rectangle', 'label': ' \n\x0c'}]]"
